Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,7920aa9b-4053-4ecc-bf20-3569444f8051,4564,45,rachek,Very good,1.00,4.00,0.00,7.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,22.00,14.00,3.00,0.00
,f936c983-8318-4d30-87e1-7f2a4ee0e984,4564,48,Zander,Oh they like to shoot the notes REALLY high. ,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,5.00,10.00,5.00,0.00
,53b8ebfc-fb40-4ff3-87be-8060a244cd15,4761,6,Nicholas,Can go under the chain. Had slow start. swerve. Complex design. can do both amp and speaker,1.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,12.00,0.00,0.00
,b01d3091-e597-40fe-9751-06e182647b11,4761,10,rackel,Good speaker shot,1.00,1.00,0.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,12.00,1.00,0.00
,7c278e36-7467-4081-83f1-726f750041ee,4761,15,Jean,they raised their arm too early and hit the stage and lost connection for a while.,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,0.00,0.00
,aef1db42-b0c7-4d4e-a913-cf693df0747b,4761,22,Anton,Auto = 2. Efficiency = 4. Accuracy = 4. Can hang on chain. ,1.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,8.00,1.00,10.00
,8181bb65-8d6b-4e76-b009-2f42d14b6f4d,4761,27,Gabber,Started by delivering notes across the field then died,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
,f3a7971f-df26-4562-bcaf-95bd6a6cbbf7,4761,31,CHASE,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00
,2777deeb-272a-4d47-ad38-d8328082d046,4761,39,terri,Not allowed on field,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,90476ce3-d53c-4c6d-a29b-c1353aefb76e,4761,46,Anton,Auto = 1. Speed = 3. Accuracy = 5. ,0.00,0.00,0.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,12.00,1.00,9.00
,138e2588-09d6-47cc-90c6-a2a939ba235e,4761,52,GABE,,1.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,10.00,0.00,0.00
,dd99ac5c-3df6-41fd-ba38-3875e071942d,5422,4,Joyce,"Crossed over center line during auto 
 Can hang on chain. ",0.00,1.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,6.00,3.00,0.00
,c86c12e9-b4c3-4ce2-8084-b86907bd077b,5422,9,Zander,A note broke in their intake and got stuck. Then they got attacked when they were on the chain!,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,10.00,4.00,3.00,0.00
,c20703e3-1e12-48d7-8ec5-3ccf1075a9ab,5422,17,Zander,,0.00,3.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,0.00
,2c61f277-f8e6-4a66-b6a2-09b7c1971be2,5422,22,Nicholas,,1.00,2.00,0.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,17.00,0.00,0.00
