Id,Uuid,TeamNumber,MatchNumber,ScoutName,Comments,Auto_Leave,Auto_Speaker,Auto_Amp,Tele_Speaker,Tele_Amp,Tele_Amped_Speaker,Tele_Coop,Endgame_Parked,Endgame_OnStage,Endgame_Harmony,Endgame_Spotlit,Endgame_Trap,Auto_Points,Tele_Points,Endgame_Points,ScoutScore
,15ad2776-6c3b-4983-8b55-f7c306099c41,663,84,Nicholas,Amp only for the most part. ,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,3.00,0.00
,282ae4e8-8240-4def-8f04-0c53496fcbdc,663,91,DAB,,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,11.00,3.00,0.00
,d940b4d6-6141-446e-b036-8204f3641a25,716,2,Nicholas,Can't score well. tank drive. did not climb. can't go under stage. got a piece stuck in robot.,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,2.00,1.00,0.00
,7f87073f-b49c-4027-b745-708667abede6,716,9,jen,"716 is the team!!!!!   sorry. not great moving and shoot ing
",0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,3.00,0.00
,18c79bc1-684c-4852-84dd-db17ddf6c9b7,716,17,terri,,1.00,1.00,0.00,8.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,16.00,1.00,0.00
,930d1426-6bd6-48a7-b0f3-b6d9f85b2fcf,716,27,DAB,,1.00,1.00,0.00,7.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,14.00,1.00,0.00
,4d0dae60-b4d5-4b11-9a82-1c827c91653b,716,45,rachel,Only robot working that match. nice cycles. still won,1.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,11.00,3.00,0.00
,45f525f0-4ef3-40c7-b994-d46530bbca76,716,51,Jen,"Lost note driving back, fast driving, slow shooting or in amp",1.00,1.00,0.00,4.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,7.00,9.00,3.00,0.00
,8bc3fe7b-6289-490a-869c-4a1a0f8cf71e,716,59,Zander,Very easily defended against. ,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00
,7c2f7522-b273-4720-bad0-add97ca092c2,716,66,rachel,"Support. not very good at it though. 
",0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,10.00,2.00,5.00,0.00
,5120208d-1818-45c5-ba10-e4d71e1d307c,716,74,terri,"Terrible match, was not helpful, kept getting in the way",0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,8.00,0.00,0.00
,93e9bada-1899-442a-912c-8a0fba33ee2d,716,81,Joyce,Can hang on chain. Can go under the chain. ,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,10.00,3.00,0.00
,4d9d7d7f-41f9-433a-bb79-43d09eef6470,716,89,ash,Speed = 4. Defense = 3. Can hang on chain. ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,3.00,7.00
,e766a991-e96c-405c-941e-bb642303aef8,999,3,zander,,1.00,1.00,0.00,3.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,8.00,1.00,0.00
